lgID,yearID,total_runs_allowed,total_outs,ERA,DH_allowed
NA,1874,3470,12509,7.4898073387161235,No DH
NL,1891,6114,29282,5.637524759237757,No DH
AL,2022,10215,64676,4.264410291298163,DH
NL,1919,4071,30194,3.6403590117241835,No DH
AL,1934,6305,32714,5.203735403802653,No DH
NL,1921,5631,32948,4.614453077576787,No DH
AA,1887,7234,28487,6.856390634324429,No DH
AL,1941,5902,33260,4.791160553217077,No DH
NL,1944,5308,33466,4.282435905097711,No DH
AA,1890,6042,28059,5.813963434192238,No DH
NL,2001,12186,69223,4.753073400459385,No DH
AL,1957,5210,33380,4.214200119832235,No DH
FL,1915,4770,33143,3.8858884228947286,No DH
NL,2018,10555,65485,4.3519126517523095,No DH
AA,1883,4465,20758,5.807640427786877,No DH
AL,2019,12018,65072,4.986568723875092,DH
AL,1969,7960,52510,4.092934679108741,No DH
AL,1998,11354,60584,5.060048857784234,DH
NL,2019,11449,65198,4.74129574526826,No DH
NL,1912,5655,32840,4.649360535931791,No DH
NL,1942,4785,33053,3.908722355005597,No DH
AA,1888,5691,29117,5.277226362606037,No DH
AL,1926,5846,32836,4.806980143744671,No DH
NL,1903,5355,29577,4.888426818135714,No DH
AL,2013,10436,65418,4.307254883976887,DH
NL,1973,8062,52446,4.15044045303741,No DH
NL,1892,9382,48320,5.242425496688742,No DH
AL,1961,7342,43280,4.580268022181146,No DH
AA,1891,6521,29079,6.0547818012999075,No DH
AL,1906,4500,32593,3.727794311662013,No DH
NL,1914,4780,33497,3.852882347672926,No DH
AL,1943,4796,33681,3.8446601941747574,No DH
AL,2000,11950,60423,5.339854029094881,DH
NL,1949,5646,33293,4.5788003484215904,No DH
NL,1904,4874,32743,4.019118590233027,No DH
NL,1916,4285,33667,3.4364511242462945,No DH
AL,1971,7472,51874,3.889115934765007,No DH
NL,1886,5186,25569,5.476240760295671,No DH
AL,1959,5391,33159,4.389667963448837,No DH
NL,2002,11546,69315,4.497468080502056,No DH
AL,1915,4918,33327,3.9843370240345664,No DH
AL,1964,6607,43845,4.0686281217926785,No DH
NL,1888,4942,28668,4.654457932189201,No DH
NL,1965,6558,43929,4.030731407498464,No DH
AL,2016,10856,64833,4.52103095645736,DH
NL,1923,5997,33229,4.872821932649193,No DH
NL,1941,5266,33338,4.264862919191313,No DH
AA,1886,6327,29277,5.834921610820781,No DH
NL,1897,9536,42012,6.12853470437018,No DH
NL,2000,13021,69310,5.072384937238494,No DH
NL,1937,5567,32864,4.57366723466407,No DH
AL,1907,4521,33014,3.6974313927424727,No DH
NL,1954,5624,33065,4.592408891577197,No DH
NL,1994,7422,43070,4.652751335035988,No DH
AL,2012,9980,60855,4.427902390929258,DH
NL,1993,10190,60854,4.521148979524764,No DH
NL,1907,4190,32456,3.4856421000739464,No DH
AL,1924,6114,32839,5.026888760315479,No DH
NL,1943,4873,33527,3.9243296447639215,No DH
AL,1923,5879,33036,4.804849255357792,No DH
NL,2021,10869,63797,4.599949840901609,No DH
AL,1905,4554,32936,3.7332402234636874,No DH
NL,1953,5914,32915,4.851222846726417,No DH
AL,1938,6582,32235,5.513075849232201,No DH
AL,1901,5876,28698,5.52832950031361,No DH
NL,1880,3191,18094,4.761633690726208,No DH
NL,1969,7890,52162,4.08400751504927,No DH
AL,1952,5191,33535,4.179424481884598,No DH
AL,2017,11337,64892,4.71705294951612,DH
NL,1885,4407,23409,5.083044982698961,No DH
NL,1958,5419,33077,4.423405992079088,No DH
NL,1950,5760,33029,4.7085894214175426,No DH
NL,1996,10623,60867,4.7122578737246785,No DH
NL,1962,7278,43470,4.520496894409938,No DH
NL,1933,4903,33014,4.009844308475192,No DH
NL,1971,7601,52427,3.91452877334198,No DH
AL,1937,6502,32858,5.342808448475257,No DH
AL,1914,4617,33787,3.689555154349306,No DH
NL,1909,4540,33553,3.6533245909456684,No DH
NL,1988,7522,52442,3.8727355936081764,No DH
PL,1890,7331,27968,7.077266876430206,No DH
NL,1990,8173,52144,4.231953820190242,No DH
NL,1908,4137,33497,3.334597128101024,No DH
NL,1948,5474,32867,4.496850944716585,No DH
AL,2001,11013,60639,4.903626379062979,DH
NL,1939,5466,32847,4.4930130605534755,No DH
AL,1948,5838,32929,4.7868444228491605,No DH
AL,1995,10225,53928,5.1193257676902535,DH
AL,1903,4544,29352,4.17988552739166,No DH
NL,1959,5462,33142,4.449761631766339,No DH
