lgID,yearID,Total_1B,Total_2B,Total_3B,Total_HR,Total_AB,Slugging_Pct,DH_allowed
AL,1906,10049,1374,515,137,40412,0.3684549143818668,No DH
NL,1996,20398,3782,434,2220,77711,0.49084428201927655,No DH
NL,1895,16827,2414,997,488,56788,0.4683736000563499,No DH
NL,1956,10716,1659,372,1219,41849,0.4785299529259958,No DH
NL,2015,20947,4076,480,2275,82652,0.47958912065043796,No DH
AL,1992,20006,3596,386,1776,77147,0.45964198218984537,DH
NL,1969,16461,2455,471,1470,65751,0.43594774223966176,No DH
NL,2003,23126,4657,491,2708,88426,0.5060163300386764,No DH
AL,1924,12262,2200,553,397,42221,0.4715425972857109,No DH
AL,2017,21230,4194,334,3170,83034,0.521473131488306,DH
NL,1983,16781,2753,484,1398,65717,0.4463228692727909,No DH
AL,1943,10522,1728,369,473,42213,0.40217468552341695,No DH
AL,2005,20933,4109,420,2437,78215,0.5134437128428051,DH
AL,1987,20620,3667,461,2634,77819,0.5123812950564772,DH
NL,1920,11376,1604,644,261,42197,0.4161433277247198,No DH
AL,2000,21652,4269,420,2688,78547,0.5372834099329065,DH
NL,1937,11591,1922,458,624,42660,0.4525316455696203,No DH
AL,2009,20783,4131,388,2560,77965,0.5188097223112935,DH
AL,1983,20662,3710,549,1903,77821,0.4798319219747883,DH
NL,2024,20272,3963,360,2739,82127,0.4898997893506399,DH
NL,2001,23027,4613,488,2952,88100,0.5167423382519863,No DH
NL,1912,11214,1762,684,286,41153,0.43578839938765096,No DH
AL,1939,11866,2107,498,796,42594,0.48734563553552146,No DH
NL,1993,20427,3588,513,1956,77489,0.47704835525042266,No DH
AL,1995,18791,3591,406,2164,69522,0.5156209545179943,DH
NL,1933,11332,1854,422,460,42559,0.4263728001127846,No DH
AL,2016,21299,4154,371,2953,82926,0.5128910112630538,DH
NL,1979,17229,2886,518,1427,66088,0.45791974337247304,No DH
FL,1915,10315,1568,580,250,40512,0.3996593601895735,No DH
NL,1948,11022,1840,384,845,42256,0.4551779628928436,No DH
